author,hindex,productivity,TNC,ANC,UNT,PNUOT,MAX PNUOT,MEAN PNUOT,diversity,persistance
90857,6,46,115,2.5,10,2=1=3=10=11=9=3=3=3=1,0.2391304347826087,4.6,0.40869564328922514,0.7391304347826086
90960,4,42,75,1.7857142857142858,7,1=10=5=13=11=1=1,0.30952380952380953,6.0,0.4421768633786849,0.5
90965,9,39,218,5.589743589743589,3,37=1=1,0.9487179487179487,13.0,0.6153846106508876,1.0
90991,5,31,127,4.096774193548387,4,28=1=1=1,0.9032258064516129,7.75,0.653225798022893,1.0
91004,11,50,472,9.44,6,1=7=22=3=1=16,0.44,8.333333333333334,0.5133333271733334,0.9
91006,8,65,237,3.646153846153846,9,20=1=27=5=4=3=1=2=2,0.4153846153846154,7.222222222222222,0.5777777697777778,0.6206896551724138
91012,6,32,105,3.28125,4,28=2=1=1,0.875,8.0,0.6406249919921876,1.0
91029,18,38,800,21.05263157894737,7,2=6=9=18=1=1=1,0.47368421052631576,5.428571428571429,0.5413533734863476,0.8214285714285714
91056,11,32,318,9.9375,10,1=1=11=2=10=2=2=1=1=1,0.34375,3.2,0.506249984179688,0.5
91059,6,78,172,2.2051282051282053,21,14=1=1=3=7=1=6=4=5=1=10=5=9=1=1=1=1=4=1=1=1,0.1794871794871795,3.7142857142857144,0.48840047525124486,0.9090909090909091
91099,8,40,179,4.475,4,14=4=15=7,0.375,10.0,0.2499999975,0.84
91140,7,47,144,3.0638297872340425,7,6=18=3=2=13=1=4,0.3829787234042553,6.714285714285714,0.4620060721464141,0.8636363636363636
91149,15,54,740,13.703703703703704,4,45=4=3=2,0.8333333333333334,13.5,0.60185184739369,0.9615384615384616
91157,8,35,196,5.6,2,34=1,0.9714285714285714,17.5,0.47142856873469385,1.0
91162,11,51,393,7.705882352941177,6,29=17=1=1=2=1,0.5686274509803921,8.5,0.6176470515570934,1.0
91223,7,41,194,4.7317073170731705,4,15=24=1=1,0.5853658536585366,10.25,0.5060975560380726,0.9375
91239,4,32,99,3.09375,8,1=1=1=1=21=3=2=2,0.65625,4.0,0.6015624849609379,0.5454545454545454
91240,11,46,656,14.26086956521739,4,38=3=1=4,0.8260869565217391,11.5,0.6086956468809074,1.0
91266,19,61,1547,25.360655737704917,6,27=5=1=17=1=10,0.4426229508196721,10.166666666666666,0.49999999508196724,0.9565217391304348
91326,10,50,289,5.78,8,39=1=1=5=1=1=1=1,0.78,6.25,0.71499998856,1.0
91332,8,71,273,3.8450704225352115,6,60=5=1=1=1=3,0.8450704225352113,11.833333333333334,0.7253521065463203,0.967741935483871
91349,19,49,944,19.26530612244898,7,6=25=8=5=1=3=1,0.5102040816326531,7.0,0.5189504299042067,0.8275862068965517
91478,11,62,325,5.241935483870968,13,20=17=3=8=3=2=1=3=1=1=1=1=1,0.3225806451612903,4.769230769230769,0.5806451491155049,1.0
91546,8,52,243,4.673076923076923,12,2=14=7=1=1=4=2=13=3=1=3=1,0.2692307692307692,4.333333333333333,0.4999999884615387,0.8571428571428571
91547,7,43,153,3.558139534883721,6,5=25=6=1=4=2,0.5813953488372093,7.166666666666667,0.515503868775915,0.85
91559,14,53,615,11.60377358490566,11,5=6=1=1=4=1=4=1=4=25=1,0.4716981132075472,4.818181818181818,0.5523155974562286,0.3870967741935484
91620,16,97,911,9.391752577319588,9,19=30=2=2=11=13=17=1=2,0.30927835051546393,10.777777777777779,0.4765177504469716,0.8529411764705882
91653,9,57,276,4.842105263157895,8,9=15=1=6=15=1=5=5,0.2631578947368421,7.125,0.3969298189904587,0.8461538461538461
91677,13,44,430,9.772727272727273,3,31=10=3,0.7045454545454546,14.666666666666666,0.42424242134986234,1.0
91684,14,36,714,19.833333333333332,6,3=26=4=1=1=1,0.7222222222222222,6.0,0.6296296191358026,0.9655172413793104
91685,13,65,515,7.923076923076923,7,17=29=11=2=1=4=1,0.4461538461538462,9.285714285714286,0.5494505435333897,0.9565217391304348
91701,8,47,193,4.1063829787234045,5,43=1=1=1=1,0.9148936170212766,9.4,0.7148936094160254,1.0
91760,10,74,399,5.391891891891892,10,2=18=5=30=6=4=5=2=1=1,0.40540540540540543,7.4,0.5540540465668373,0.6521739130434783
91787,14,41,688,16.78048780487805,7,1=12=3=16=5=1=3,0.3902439024390244,5.857142857142857,0.48083622872439885,0.6428571428571429
91794,17,45,1066,23.68888888888889,4,32=4=6=3,0.7111111111111111,11.25,0.49444444004938276,1.0
91856,15,53,794,14.981132075471699,10,11=3=2=12=10=2=9=2=1=1,0.22641509433962265,5.3,0.43584904838020666,0.7391304347826086
91886,11,33,452,13.696969696969697,9,4=2=2=4=1=6=3=10=1,0.30303030303030304,3.6666666666666665,0.3838383733700645,0.6071428571428571
91956,8,44,202,4.590909090909091,9,4=4=5=23=1=1=1=1=4,0.5227272727272727,4.888888888888889,0.55050503924472,0.7878787878787878
92018,7,34,150,4.411764705882353,10,4=1=1=1=10=4=6=4=2=1,0.29411764705882354,3.4,0.41764704653979273,0.6363636363636364
92149,12,103,574,5.572815533980583,12,29=8=3=3=47=3=1=4=1=2=1=1,0.4563106796116505,8.583333333333334,0.6674757203789237,0.6071428571428571
92228,8,34,221,6.5,5,25=3=1=4=1,0.7352941176470589,6.8,0.5999999911764707,1.0
92238,10,44,326,7.409090909090909,6,11=20=8=1=3=1,0.45454545454545453,7.333333333333333,0.49242423570936644,0.8518518518518519
92360,8,50,313,6.26,6,41=1=1=3=3=1,0.82,8.333333333333334,0.6933333250133334,1.0
92361,8,31,203,6.548387096774194,3,28=2=1,0.9032258064516129,10.333333333333334,0.5806451556711759,0.6363636363636364
92362,12,72,487,6.763888888888889,14,2=2=2=35=3=1=9=6=1=5=1=1=3=1,0.4861111111111111,5.142857142857143,0.6111110992283952,0.8888888888888888
92374,4,44,76,1.7272727272727273,17,14=1=4=2=1=1=1=1=7=4=1=2=1=1=1=1=1,0.3181818181818182,2.588235294117647,0.4973261839936809,0.9629629629629629
92383,16,55,1934,35.163636363636364,10,34=3=1=2=7=1=4=1=1=1,0.6181818181818182,5.5,0.6563636244297523,1.0
92414,8,59,303,5.135593220338983,19,2=2=4=1=1=3=2=3=2=21=1=3=8=1=1=1=1=1=1,0.3559322033898305,3.1052631578947367,0.5227475299989421,0.36666666666666664
92418,7,30,190,6.333333333333333,5,2=7=4=1=16,0.5333333333333333,6.0,0.466666658888889,0.39285714285714285
92452,10,32,357,11.15625,7,1=1=21=1=4=1=3,0.65625,4.571428571428571,0.6071428438616073,0.85
92454,6,49,173,3.5306122448979593,17,2=1=6=1=3=2=5=12=1=1=6=2=2=1=1=2=1,0.24489795918367346,2.8823529411764706,0.4465786159590372,0.5384615384615384
92486,11,51,508,9.96078431372549,8,4=6=31=3=1=3=1=2,0.6078431372549019,6.375,0.590686265244137,0.8571428571428571
92533,10,30,305,10.166666666666666,6,13=1=1=4=10=1,0.43333333333333335,5.0,0.49999999000000017,0.8518518518518519
92536,35,215,5185,24.11627906976744,14,1=1=78=28=4=53=11=1=21=4=1=9=2=1,0.3627906976744186,15.357142857142858,0.673421922525226,0.9310344827586207
92546,13,56,642,11.464285714285714,9,10=4=18=1=2=2=7=11=1,0.32142857142857145,6.222222222222222,0.4722222146329367,0.7666666666666667
92585,9,31,296,9.548387096774194,4,9=19=2=1,0.6129032258064516,7.75,0.49193547752341316,0.9230769230769231
92590,17,66,761,11.530303030303031,7,27=12=1=12=5=3=6,0.4090909090909091,9.428571428571429,0.4458874411583366,0.75
92673,7,45,432,9.6,13,4=16=4=1=2=2=1=2=3=6=2=1=1,0.35555555555555557,3.4615384615384617,0.4717948581652426,0.8928571428571429
92678,12,36,476,13.222222222222221,8,12=4=12=1=4=1=1=1,0.3333333333333333,4.5,0.4999999888888892,0.39285714285714285
92715,11,85,444,5.223529411764706,5,77=1=5=1=1,0.9058823529411765,17.0,0.7341176427404844,1.0
92842,6,40,179,4.475,6,4=25=5=4=1=1,0.625,6.666666666666667,0.54999999175,0.7857142857142857
92883,12,55,329,5.9818181818181815,10,1=6=7=2=10=4=22=1=1=1,0.4,5.5,0.5436363537520662,0.3793103448275862
92890,8,37,253,6.837837837837838,6,19=3=8=2=4=1,0.5135135135135135,6.166666666666667,0.49099098302897504,0.8823529411764706
